county_fips,county_name,state,cbsa_code,cbsa_name,geography_weeks,event_weeks,event_week_share,total_game_count,mean_revenue_all,mean_revenue_all_event_weeks,mean_revenue_all_non_event_weeks,event_vs_non_event_revenue_diff,mean_merchants_all,mean_merchants_all_event_weeks,mean_merchants_all_non_event_weeks,event_vs_non_event_merchants_diff
08041,El Paso County,CO,17820,"Colorado Springs, CO",109,1,0.009174311926605505,1.0,0.28422771559633025,0.0179,0.286693712962963,-0.26879371296296295,0.0170374128440367,0.00822,0.017119055555555557,-0.008899055555555558
19061,Dubuque County,IA,20220,"Dubuque, IA",109,1,0.009174311926605505,1.0,0.3101504587155963,0.492,0.30846666666666667,0.18353333333333333,0.03735987155963302,0.0725,0.037034500000000005,0.03546549999999999
48141,El Paso County,TX,21340,"El Paso, TX",109,1,0.009174311926605505,1.0,-0.08560669724770642,-0.082,-0.0856400925925926,0.0036400925925925975,-0.09956018348623853,-0.151,-0.09908388888888889,-0.05191611111111111
53061,Snohomish County,WA,42660,"Seattle-Tacoma-Bellevue, WA",109,1,0.009174311926605505,1.0,-0.05502419266055046,-0.00122,-0.05552237962962963,0.05430237962962963,-0.09768715596330275,-0.0947,-0.0977148148148148,0.0030148148148147896
53063,Spokane County,WA,44060,"Spokane-Spokane Valley, WA",109,1,0.009174311926605505,1.0,-0.12639633027522937,-0.112,-0.12652962962962966,0.014529629629629656,-0.04580091743119265,0.00945,-0.046312499999999986,0.055762499999999986
01073,Jefferson County,AL,13820,"Birmingham, AL",109,0,0.0,0.0,-0.06821671559633029,,-0.06821671559633029,,-0.013362449541284406,,-0.013362449541284406,
04019,Pima County,AZ,46060,"Tucson, AZ",109,0,0.0,0.0,0.03498019266055047,,0.03498019266055047,,-0.08256422018348625,,-0.08256422018348625,
06029,Kern County,CA,12540,"Bakersfield-Delano, CA",109,0,0.0,0.0,-0.19881802752293576,,-0.19881802752293576,,-0.15676935779816514,,-0.15676935779816514,
06065,Riverside County,CA,40140,"Riverside-San Bernardino-Ontario, CA",109,0,0.0,0.0,-0.2779003669724771,,-0.2779003669724771,,-0.12323513761467891,,-0.12323513761467891,
06071,San Bernardino County,CA,40140,"Riverside-San Bernardino-Ontario, CA",109,0,0.0,0.0,-0.03571174311926605,,-0.03571174311926605,,-0.050898119266055045,,-0.050898119266055045,
06113,Yolo County,CA,40900,"Sacramento-Roseville-Folsom, CA",109,0,0.0,0.0,-0.18938467889908253,,-0.18938467889908253,,-0.21564412844036698,,-0.21564412844036698,
15003,Honolulu County,HI,46520,"Urban Honolulu, HI",109,0,0.0,0.0,-0.14352192660550459,,-0.14352192660550459,,-0.07632211009174311,,-0.07632211009174311,
16001,Ada County,ID,14260,"Boise City, ID",109,0,0.0,0.0,0.12542188073394495,,0.12542188073394495,,-0.0994176146788991,,-0.0994176146788991,
18141,St. Joseph County,IN,43780,"South Bend-Mishawaka, IN-MI",109,0,0.0,0.0,0.20429541284403666,,0.20429541284403666,,0.02341316146788991,,0.02341316146788991,
19153,Polk County,IA,19780,"Des Moines-West Des Moines, IA",109,0,0.0,0.0,-0.24744889908256884,,-0.24744889908256884,,0.011912128440366975,,0.011912128440366975,
20173,Sedgwick County,KS,48620,"Wichita, KS",109,0,0.0,0.0,0.09891211009174312,,0.09891211009174312,,-0.0757216972477064,,-0.0757216972477064,
26065,Ingham County,MI,29620,"Lansing-East Lansing, MI",109,0,0.0,0.0,-0.5718574311926606,,-0.5718574311926606,,0.017981486238532112,,0.017981486238532112,
31055,Douglas County,NE,36540,"Omaha, NE-IA",109,0,0.0,0.0,0.1233597247706422,,0.1233597247706422,,-0.05965183486238532,,-0.05965183486238532,
37067,Forsyth County,NC,49180,"Winston-Salem, NC",109,0,0.0,0.0,0.0611835880733945,,0.0611835880733945,,-0.09331449541284403,,-0.09331449541284403,
37081,Guilford County,NC,24660,"Greensboro-High Point, NC",109,0,0.0,0.0,-0.013998174311926605,,-0.013998174311926605,,-0.005431100917431192,,-0.005431100917431192,
40143,Tulsa County,OK,46140,"Tulsa, OK",109,0,0.0,0.0,-0.2553220183486238,,-0.2553220183486238,,-0.028418715596330277,,-0.028418715596330277,
42027,Centre County,PA,44300,"State College, PA",109,0,0.0,0.0,0.06420091743119266,,0.06420091743119266,,0.21159752293577982,,0.21159752293577982,
42043,Dauphin County,PA,25420,"Harrisburg-Carlisle, PA",109,0,0.0,0.0,-0.14506211009174313,,-0.14506211009174313,,-0.12287027522935778,,-0.12287027522935778,
45019,Charleston County,SC,16700,"Charleston-North Charleston, SC",109,0,0.0,0.0,0.11457706422018347,,0.11457706422018347,,0.012338211009174312,,0.012338211009174312,
48453,Travis County,TX,12420,"Austin-Round Rock-San Marcos, TX",109,0,0.0,0.0,-0.12228962385321099,,-0.12228962385321099,,-0.0005971743119266061,,-0.0005971743119266061,
