venue_key,venue_name,venue_name_normalized,league,team_id,team_name,season_start,season_end,city,state,country,county_fips,county_name,cbsa_code,cbsa_name,latitude,longitude,source,source_url,confidence,notes
mlb:arl03,Globe Life Field in Arlington,globe life field in arlington,MLB,TEX,TEX,2020,2025,Arlington,TX,United States,48439,Tarrant County,19100,"Dallas-Fort Worth-Arlington, TX",32.7668672,-97.0990580,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: ARL03; geocode method: city_state_fallback; geocode query: Arlington TX; county inferred from venue city/state
mlb:arl02,Rangers Ballpark in Arlington,rangers ballpark in arlington,MLB,TEX,TEX,1994,2019,Arlington,TX,United States,48439,Tarrant County,19100,"Dallas-Fort Worth-Arlington, TX",32.7668672,-97.0990580,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,source venue code: ARL02; geocode method: city_state_fallback; geocode query: Arlington TX; county inferred from venue city/state
mlb:hou03,Minute Maid Park,minute maid park,MLB,ATL,ATL,2000,2020,Houston,TX,United States,48201,Harris County,26420,"Houston-Pasadena-The Woodlands, TX",29.7572321,-95.3552344,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: HOU03; geocode method: venue_city_state; geocode query: Minute Maid Park Houston TX
mlb:hou03,Minute Maid Park,minute maid park,MLB,HOU,HOU,2000,2025,Houston,TX,United States,48201,Harris County,26420,"Houston-Pasadena-The Woodlands, TX",29.7572321,-95.3552344,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: HOU03; geocode method: venue_city_state; geocode query: Minute Maid Park Houston TX
mlb:hou03,Minute Maid Park,minute maid park,MLB,MIA,MIA,2000,2020,Houston,TX,United States,48201,Harris County,26420,"Houston-Pasadena-The Woodlands, TX",29.7572321,-95.3552344,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: HOU03; geocode method: venue_city_state; geocode query: Minute Maid Park Houston TX
mlb:sea03,Safeco Field,safeco field,MLB,ALS,ALS,1999,2023,Seattle,WA,United States,53033,King County,42660,"Seattle-Tacoma-Bellevue, WA",47.5913974,-122.3325070,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: SEA03; geocode method: venue_city_state; geocode query: Safeco Field Seattle WA
mlb:sea03,Safeco Field,safeco field,MLB,SEA,SEA,1999,2025,Seattle,WA,United States,53033,King County,42660,"Seattle-Tacoma-Bellevue, WA",47.5913974,-122.3325070,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: SEA03; geocode method: venue_city_state; geocode query: Safeco Field Seattle WA
mlb:mil06,Miller Park,miller park,MLB,MIL,MIL,2001,2025,Milwaukee,WI,United States,55079,Milwaukee County,33340,"Milwaukee-Waukesha, WI",43.0280619,-87.9712694,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: MIL06; geocode method: venue_city_state; geocode query: Miller Park Milwaukee WI
nba:legacy_arena_at_bjcc,Legacy Arena at BJCC,legacy arena at bjcc,NBA,3,New Orleans Pelicans,2023,2026,Birmingham,AL,United States,01073,Jefferson County,13820,"Birmingham, AL",33.5712655,-86.7657858,OpenStreetMap Nominatim + U.S. Census Geocoder,https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,low,geocode method: city_state_fallback; geocode query: Birmingham AL; county inferred from venue city/state
nba:mortgage_matchup_center,Mortgage Matchup Center,mortgage matchup center,NBA,21,Phoenix Suns,2019,2026,Phoenix,AZ,United States,04013,Maricopa County,38060,"Phoenix-Mesa-Chandler, AZ",33.4460392,-112.0711013,OpenStreetMap Nominatim + U.S. Census Geocoder,https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,geocode method: venue_city_state; geocode query: Mortgage Matchup Center Phoenix AZ
nba:honda_center,Honda Center,honda center,NBA,13,Los Angeles Lakers,2024,2024,Anaheim,CA,United States,06059,Orange County,31080,"Los Angeles-Long Beach-Anaheim, CA",33.8078316,-117.8765340,OpenStreetMap Nominatim + U.S. Census Geocoder,https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,geocode method: venue_city_state; geocode query: Honda Center Anaheim CA
nba:intuit_dome,Intuit Dome,intuit dome,NBA,12,LA Clippers,2025,2026,Inglewood,CA,United States,06037,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",33.9442586,-118.3421719,OpenStreetMap Nominatim + U.S. Census Geocoder,https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,geocode method: venue_city_state; geocode query: Intuit Dome Inglewood CA
nba:intuit_dome,Intuit Dome,intuit dome,NBA,132374,Team Stars,2026,2026,Inglewood,CA,United States,06037,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",33.9442586,-118.3421719,OpenStreetMap Nominatim + U.S. Census Geocoder,https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,geocode method: venue_city_state; geocode query: Intuit Dome Inglewood CA
nba:intuit_dome,Intuit Dome,intuit dome,NBA,132375,Team Stripes,2026,2026,Inglewood,CA,United States,06037,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",33.9442586,-118.3421719,OpenStreetMap Nominatim + U.S. Census Geocoder,https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,geocode method: venue_city_state; geocode query: Intuit Dome Inglewood CA
nba:crypto_com_arena,crypto.com Arena,crypto com arena,NBA,12,LA Clippers,2019,2024,Los Angeles,CA,United States,06037,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",34.0429979,-118.2671352,OpenStreetMap Nominatim + U.S. Census Geocoder,https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,geocode method: venue_city_state; geocode query: crypto.com Arena Los Angeles CA
