cbsa_code,cbsa_title,msa_block_id,msa_block_compact_id,block_population_count,block_msa_count,block_game_count,is_sparse_block,recommended_for_matching
26900,"Indianapolis-Carmel-Greenwood, IN",midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,34798104,12,8754,False,True
28140,"Kansas City, MO-KS",midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,34798104,12,8754,False,True
31140,"Louisville/Jefferson County, KY-IN",midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,34798104,12,8754,False,True
33340,"Milwaukee-Waukesha, WI",midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,34798104,12,8754,False,True
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,34798104,12,8754,False,True
41180,"St. Louis, MO-IL",midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,34798104,12,8754,False,True
10420,"Akron, OH",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
11460,"Ann Arbor, MI",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
15940,"Canton-Massillon, OH",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
16300,"Cedar Rapids, IA",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
19340,"Davenport-Moline-Rock Island, IA-IL",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
19430,"Dayton-Kettering-Beavercreek, OH",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
19780,"Des Moines-West Des Moines, IA",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
20260,"Duluth, MN-WI",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
21780,"Evansville, IN",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
22420,"Flint, MI",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
23060,"Fort Wayne, IN",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
24580,"Green Bay, WI",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
28020,"Kalamazoo-Portage, MI",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
29620,"Lansing-East Lansing, MI",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
30700,"Lincoln, NE",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
31540,"Madison, WI",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
36540,"Omaha, NE-IA",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
37900,"Peoria, IL",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
40420,"Rockford, IL",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
43620,"Sioux Falls, SD-MN",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
43780,"South Bend-Mishawaka, IN-MI",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
44180,"Springfield, MO",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
45780,"Toledo, OH",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
48620,"Wichita, KS",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
49660,"Youngstown-Warren, OH",midwest|mega|medium_metro_proxy|economic_unknown|svi_unknown,mega|medium_metro_proxy|service_unknown|svi_unknown,11485931,25,74,False,True
10660,"Albert Lea, MN",midwest|small|micro_proxy|economic_unknown|svi_unknown,small|micro_proxy|service_unknown|svi_unknown,2283127,79,0,True,False
10980,"Alpena, MI",midwest|small|micro_proxy|economic_unknown|svi_unknown,small|micro_proxy|service_unknown|svi_unknown,2283127,79,0,True,False
11420,"Angola, IN",midwest|small|micro_proxy|economic_unknown|svi_unknown,small|micro_proxy|service_unknown|svi_unknown,2283127,79,0,True,False
11680,"Arkansas City-Winfield, KS",midwest|small|micro_proxy|economic_unknown|svi_unknown,small|micro_proxy|service_unknown|svi_unknown,2283127,79,0,True,False
11860,"Atchison, KS",midwest|small|micro_proxy|economic_unknown|svi_unknown,small|micro_proxy|service_unknown|svi_unknown,2283127,79,0,True,False
13100,"Beatrice, NE",midwest|small|micro_proxy|economic_unknown|svi_unknown,small|micro_proxy|service_unknown|svi_unknown,2283127,79,0,True,False
15100,"Brookings, SD",midwest|small|micro_proxy|economic_unknown|svi_unknown,small|micro_proxy|service_unknown|svi_unknown,2283127,79,0,True,False
15900,"Canton, IL",midwest|small|micro_proxy|economic_unknown|svi_unknown,small|micro_proxy|service_unknown|svi_unknown,2283127,79,0,True,False
16140,"Carroll, IA",midwest|small|micro_proxy|economic_unknown|svi_unknown,small|micro_proxy|service_unknown|svi_unknown,2283127,79,0,True,False
